code,name,detail,market,collateral
YSWY,イエスウェイ,米国のコンビニエンスストア運営会社,NASDAQ,
TRAX,ファースト　トラックス　バイオセラピューティクス,米国の臨床段階のバイオテクノロジー会社,NASDAQ,
VGNT,ヴァーシジェント,スイスの電気配電システム事業会社,NYSE,
FSUN,ファーストサン　キャピタル　バンコープ,米国の金融持株会社,NASDAQ,
HMH,ＨＭＨ　ホールディング,石油・ガス掘削機器を提供する米国の会社,NASDAQ,
MMED,ミニメッド　グループ,米国の医療技術会社,NASDAQ,
AGBK,ＡＧＩ,ブラジルの専門金融サービス会社,NYSE,
MWH,ソルブ　エナジー,米国のインフラサービス提供会社,NASDAQ,
APC,アルコ　ペトロリアム,米国の燃料卸売業者,NASDAQ,
OFRM,ワンス　アポン　ア　ファーム,米国のパブリック・ベネフィット・コーポレーション,NYSE,
EIKN,アイコン　セラピューティクス,米国の臨床段階のバイオ医薬品会社,NASDAQ,
BOBS,ボブズ　ディスカウント　ファニチャー,米国のオムニチャネル・ホームファニチャー小売業者,NYSE,
FPS,フォージェント　パワー　ソリューションズ,配電設備を設計・製造する米国の会社,NYSE,
AZN,アストラゼネカ,英国のバイオ医薬品会社,NYSE,○
ALAB,アステラ　ラブス,半導体ベース接続ソリューションを提供する米国の会社,NASDAQ,
LIFE,エートス　テクノロジーズ,保険テクノロジープラットフォームを提供する米国企業,NASDAQ,
PICS,ピックス,デジタル決済ソリューションを提供するブラジルの会社,NASDAQ,
YSS,ヨーク　スペース　システムズ,米国の宇宙防衛関連プログラム請負業者,NYSE,
EQPT,エクイプメントシェア　ドットコム,建設機器レンタルプラットフォームを提供する米国企業,NASDAQ,
BTGO,ビットゴー　ホールディングス,米国のデジタル資産インフラ企業,NYSE,
COMP,コンパス,不動産業界向けプラットフォームを提供する米国の会社,NYSE,
VSNT,バーサント　メディア　グループ,米国のメディア・エンターテインメント企業,NASDAQ,
MDLN,メドライン,米国の医療機器・外科製品メーカー,NASDAQ,
WLTH,ウェルスフロント,金融ソリューションプラットフォームを提供する米国企業,NASDAQ,○
LMRI,ルメクサ　イメージング　ホールディングス,医療診断用画像サービスを提供する米国の会社,NASDAQ,○
CDNL,カーディナル　インフラストラクチャー　グループ,インフラサービスを提供する米国の会社,NASDAQ,○
MICC,マグナム　アイスクリーム　カンパニー,オランダのアイスクリームメーカー,NYSE,○
CBC,セントラル　バンカンパニー,ミズーリ州などで業務を行う米国の銀行持株会社,NASDAQ,○
CANG,カンゴ,自動車取引プラットフォームを提供する中国の会社,NYSE,
BLLN,ビリオントゥーワン,分子診断技術を開発・提供する米国の会社,NASDAQ,○
Q,キューニティ　エレクトロニクス,半導体技術とインターコネクト製品を提供する米国企業,NYSE,○
SOLS,ソルスティス　アドバンスト　マテリアルズ,米国の先端材料企業,NASDAQ,○
PTRN,パターン　グループ,米国のECアクセラレーションプラットフォーム提供会社,NASDAQ,○
NTSK,ネットスコープ,米国のクラウドネイティブプラットフォーム提供会社,NASDAQ,○
STUB,スタブハブ　ホールディングス,米国のセカンダリーチケットオンライン市場運営会社,NYSE,○
