コード,銘柄名,業種,市場,株式種類,新NISA成長投資枠
A,アジレント　テクノロジー,精密機器,NYSE,普通株式,〇
AA,アルコア,非鉄金属,NYSE,普通株式,〇
AAL,アメリカン　エアラインズ　グループ,空運業,NASDAQ,普通株式,〇
AAME,アトランティック　アメリカン,保険業,NASDAQ,普通株式,〇
AAMI,アカディアン　アセット　マネジメント,証券、商品先物取引業,NYSE,普通株式,〇
AAOI,アプライド　オプトエレクトロニクス,精密機器,NASDAQ,普通株式,〇
AAON,ＡＡＯＮ,機械,NASDAQ,普通株式,〇
AAP,アドバンス　オート　パーツ,小売業,NYSE,普通株式,〇
AAPB,グラナイトシェアーズ　２倍ロング　ＡＡＰＬ　デイリー　ＥＴＦ,その他,NASDAQ,ETF,
AAPD,Ｄｉｒｅｘｉｏｎ　デイリー　アップル株　ベア１倍　ＥＴＦ,その他,NASDAQ,ETF,
AAPL,アップル,精密機器,NASDAQ,普通株式,〇
AAPU,Ｄｉｒｅｘｉｏｎ　デイリー　アップル株　ブル２倍,その他,NASDAQ,ETF,
AARD,アードバーク　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ABAT,アメリカン　バッテリー　テクノロジー,鉱業,NASDAQ,普通株式,〇
ABBV,アッヴィ,医薬品,NYSE,普通株式,〇
ABCB,アメリス　バンコープ,銀行業,NYSE,普通株式,〇
ABCL,アブセレラ　バイオロジクス,医薬品,NASDAQ,普通株式,〇
ABEO,アビオナ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ABEV,アンベブ　ＡＤＲ,食料品,NYSE,ADR,〇
ABG,アズベリー　オートモーティブ　グループ,小売業,NYSE,普通株式,〇
ABM,ＡＢＭ　インダストリーズ,サービス業,NYSE,普通株式,〇
ABNB,エアビーアンドビー,サービス業,NASDAQ,普通株式,〇
ABOS,アキュメン　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
ABSI,アブサイ,サービス業,NASDAQ,普通株式,〇
ABT,アボット　ラボラトリーズ,医薬品,NYSE,普通株式,〇
ABTC,アメリカン　ビットコイン,その他金融業,NASDAQ,普通株式,〇
ABTS,アビッツグループ,その他金融業,NASDAQ,普通株式,〇
ABUS,アービュタス　バイオファーマ,医薬品,NASDAQ,普通株式,〇
ABVC,ＡＢＶＣ　バイオファーマ,医薬品,NASDAQ,普通株式,〇
ABVE,アバブ　フード　イングリディエンツ,食料品,NASDAQ,普通株式,〇
ABX,アバカス　グローバル　マネジメント,証券、商品先物取引業,NYSE,普通株式,〇
ACA,アルコサ,金属製品,NYSE,普通株式,〇
ACAD,アカディア　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
ACB,オーロラ　カンナビス,医薬品,NASDAQ,普通株式,〇
ACCO,アコ　ブランズ,その他製品,NYSE,普通株式,〇
