code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
US.1061,FALCONS BEYOND GLOBAL INC COM USD0.0001 CLASS A,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84331683075112,False,N/A,False,,US_NASDAQ
US.2578256D,WW International Inc,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,87028922567455,False,N/A,False,,US_PINK
US.2618996D,BitVentures,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,87862146225305,False,N/A,False,,US_NASDAQ
US.55272X706,MFA FINANCIAL INC 8.875% NTS 15/02/29 USD25,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,88051124787044,False,N/A,False,,US_NYSE
US.A,Agilent Technologies,1,STOCK,N/A,,N/A,,N/A,N/A,1999-11-17,204747,False,N/A,False,,US_NYSE
US.AA,Alcoa,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205871,False,N/A,False,,US_NYSE
US.AABB,ASIA BROADBAND INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212512227,False,N/A,False,,US_PINK
US.AACAY,AAC TECHNOLOGIES H,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,214631,False,N/A,False,,US_PINK
US.AACB,Artius II Acquisition Inc,1,STOCK,N/A,,N/A,,N/A,N/A,2025-04-07,86689620150050,False,N/A,False,,US_NASDAQ
US.AACBR,ARTIUS II ACQUISITION INC COM USD0.0001 CL A (SUB/RIGHTS)27/11/29,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,86689620150051,False,N/A,False,,US_NASDAQ
US.AACBU,ARTIUS II ACQUISITION INC UNIT 1 COM & RT (27/11/2029),1,STOCK,N/A,,N/A,,N/A,N/A,2025-02-13,86461986882734,False,N/A,False,,US_NASDAQ
US.AACG,ATA Creativity Global,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,78103980495170,False,N/A,False,,US_NASDAQ
US.AACI,Armada Acquisition Corp III,1,STOCK,N/A,,N/A,,N/A,N/A,2026-03-27,88210038550729,False,N/A,False,,US_NASDAQ
US.AACIU,ARMADA ACQUISITION CORPORATION III UNIT 1 CLASS A ORD & 1/2 WAR(13/02/2031),1,STOCK,N/A,,N/A,,N/A,N/A,2026-02-18,88029649923136,False,N/A,False,,US_NASDAQ
US.AACOU,ABONY ACQUISITION CORPORATION I UNIT 1 CL A ORD & 1/3 WT(29/01/2031),1,STOCK,N/A,,N/A,,N/A,N/A,2026-02-19,80380313165124,False,N/A,False,,US_NASDAQ
US.AACPU,APOGEE ACQUISITION CORPORATION UNIT 1 CL A 1 WT & 1 RT,1,STOCK,N/A,,N/A,,N/A,N/A,2026-03-27,88210038577511,False,N/A,False,,US_NASDAQ
US.AAGC,ALL AMERICAN GOLD CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84653805638038,False,N/A,False,,US_PINK
US.AAGH,AMERICA GREAT HEALTH,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212512374,False,N/A,False,,US_PINK
US.AAGIY,AIA GROUP LTD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,214740,False,N/A,False,,US_PINK
US.AAGR,African Agriculture,1,STOCK,N/A,,N/A,,N/A,N/A,2021-10-01,84597971063053,False,N/A,False,,US_PINK
US.AAGRY,ASTRA AGRO LESTARI TBK UNSP ADR EA REPR 5 SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187273681,False,N/A,False,,US_PINK
